Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,216.58.219.227,216.58.217.67,1206.343889,1284.697056,-78.35316658,8.562,34.986,-26.424,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,217.20.155.13,217.20.147.1,105793.5879,105772.805,20.78294754,175.445,194.819,-19.374,No,32,32,4643.014865,4643.014865,0,300
130.245.192.6,169.44.84.178,31.13.71.49,100461.261,162.5099182,100298.7511,15.094,7.725,7.369,Yes,32,7,1336.019277,3143.587861,-1807.568584,20
130.245.192.6,151.101.32.193,151.101.208.193,130119.3991,140069.1521,-9949.753046,14.202,7.465,6.737,Yes,32,32,263.6365853,55.80032968,207.8362556,5
130.245.192.6,198.11.132.250,23.66.197.241,107934.773,5526.413918,102408.3591,74.706,8.031,66.675,Yes,32,5,2616.908976,146.0685797,2470.840396,20
130.245.192.6,151.101.1.69,151.101.129.69,135098.9289,135101.4271,-2.498149872,8.616,8.513,0.103,Yes,32,32,2612.877204,2612.877204,0,151
130.245.192.6,192.0.78.9,192.0.78.13,2173.16699,86.37094498,2086.796045,9.057,7.927,1.13,Yes,10,10,1673.647751,1673.647751,0,300
130.245.192.6,216.58.219.227,216.58.218.227,1102.244139,1274.791956,-172.5478172,7.564,12.995,-5.431,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,192.30.253.112,192.30.253.112,16217.11397,10540.67588,5676.438093,13.901,14.29,-0.389,Yes,13,13,2612.877204,2612.877204,0,60
130.245.192.6,151.101.128.194,151.101.0.194,140091.198,130100.6532,9990.544796,9.079,8.022,1.057,Yes,32,32,2612.877204,2612.877204,0,3202
130.245.192.6,216.58.219.227,216.58.218.227,6081.310987,7218.009233,-1136.698246,7.73,13.471,-5.741,No,7,11,2604.218551,2604.218551,0,21
130.245.192.6,52.94.237.74,52.94.237.74,115522.866,115249.3598,273.5061646,13.146,12.883,0.263,Yes,32,32,263.6365853,263.6365853,0,7
130.245.192.6,109.71.161.200,109.71.161.200,125359.653,130102.0491,-4742.396116,7.615,8.098,-0.483,Yes,32,32,3728.000683,3728.000683,0,11096
130.245.192.6,52.119.168.48,13.33.87.114,76314.91923,25178.98393,51135.93531,78.934,9.134,69.8,Yes,32,13,2335.125002,2442.667762,-107.5427596,60
130.245.192.6,88.208.29.24,88.208.29.24,120479.9113,125403.049,-4923.137665,104.573,82.194,22.379,Yes,32,32,3604.574381,3604.574381,0,1800
130.245.192.6,216.58.218.233,216.58.219.233,295.5260277,1110.648155,-815.1221275,13.192,167.736,-154.544,No,11,7,2604.218551,2604.218551,0,300
130.245.192.6,216.58.219.227,216.58.218.227,6074.229956,6212.723017,-138.4930611,7.678,12.335,-4.657,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,216.58.219.227,216.58.218.227,6049.558878,1199.234962,4850.323915,7.041,13.548,-6.507,No,7,11,2604.218551,2604.218551,0,122
130.245.192.6,123.125.114.5,103.235.46.234,83346.44794,83473.84191,-127.393961,339.404,320.873,18.531,Yes,32,32,6835.445738,8058.200005,-1222.754267,300
130.245.192.6,174.138.124.52,174.138.124.52,130327.4682,129216.712,1110.756159,7.626,7.534,0.092,Yes,32,32,47.46125766,47.46125766,0,75
130.245.192.6,216.18.168.1,216.18.168.1,120157.629,115269.7201,4887.908936,27.737,28.018,-0.281,Yes,32,32,141.6432893,141.6432893,0,180
130.245.192.6,194.187.98.220,52.51.19.158,5938.21907,86087.86201,-80149.64294,83.311,92.288,-8.977,No,9,32,3609.198384,3143.596106,465.6022774,300
130.245.192.6,192.147.130.204,172.229.242.33,117250.4709,5541.174173,111709.2967,94.456,9.007,85.449,Yes,32,5,2598.298748,146.0685797,2452.230168,17
130.245.192.6,216.21.13.12,216.21.13.13,125476.109,125093.8339,382.2751045,13.745,13.159,0.586,Yes,32,32,1336.019277,1336.019277,0,538965
130.245.192.6,151.101.0.84,151.101.208.84,135071.2819,140072.1669,-5000.88501,9.425,9.554,-0.129,Yes,32,32,2612.877204,55.80032968,2557.076875,4
130.245.192.6,180.240.134.85,13.33.74.66,10322.45708,20556.08821,-10233.63113,305.908,9.444,296.464,Yes,18,13,9514.70197,2442.667762,7072.034208,60
130.245.192.6,35.182.58.72,104.27.148.33,105279.5241,6327.960014,98951.56407,17.569,8.297,9.272,Yes,32,5,317.8196,1336.019277,-1018.199677,600
130.245.192.6,23.194.111.124,23.194.111.124,1268.015862,172.6310253,1095.384836,9.129,9.36,-0.231,Yes,9,9,146.0685797,146.0685797,0,20
130.245.192.6,216.58.219.227,216.58.218.227,1103.178024,5245.450974,-4142.272949,8.34,13.95,-5.61,No,7,11,2604.218551,2604.218551,0,262
130.245.192.6,123.30.175.29,123.30.175.29,85599.07007,81313.41624,4285.65383,773.315,771.144,2.171,Yes,32,32,8168.661166,8168.661166,0,3600
130.245.192.6,31.24.224.56,31.24.224.56,120514.5409,120378.2368,136.3041401,79.661,79.119,0.542,Yes,32,32,3426.804876,3426.804876,0,299
130.245.192.6,162.125.248.1,162.125.4.1,5192.317247,11045.86196,-5853.544712,7.722,7.174,0.548,Yes,8,8,2612.877204,47.7062712,2565.170933,44
130.245.192.6,31.13.71.36,31.13.71.36,321.3551044,56.29301071,265.0620937,7.793,7.974,-0.181,Yes,7,7,3143.587861,3143.587861,0,19
130.245.192.6,52.95.120.34,104.92.231.149,100870.9612,11307.92093,89563.04026,87.364,8.261,79.103,Yes,32,5,3143.596106,146.0685797,2997.527527,20
130.245.192.6,104.20.71.110,104.20.72.110,1029.789925,6179.414034,-5149.624109,11.319,8.303,3.016,Yes,5,5,1336.019277,1336.019277,0,300
130.245.192.6,124.225.65.154,124.225.65.154,80714.79297,19866.07575,60848.71721,365.218,391.764,-26.546,No,21,21,8231.195648,8231.195648,0,14400
130.245.192.6,151.101.0.81,151.101.20.81,135082.9237,135073.0329,9.890794754,8.11,7.707,0.403,Yes,32,32,2612.877204,47.7062712,2565.170933,30
130.245.192.6,103.23.108.107,103.23.108.200,10137.05206,10175.82202,-38.7699604,256.198,224.444,31.754,Yes,22,22,7796.780718,7796.780718,0,300
130.245.192.6,216.58.219.227,216.58.217.67,1099.749088,354.9740314,744.7750568,7.031,14.005,-6.974,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,192.229.162.211,151.101.209.2,117.8710461,140128.2921,-140010.421,7.842,7.278,0.564,Yes,11,32,1336.019277,55.80032968,1280.218948,30
130.245.192.6,50.63.202.11,13.33.74.127,126650.5268,25105.67093,101544.8558,64.961,7.892,57.069,Yes,32,13,2176.021007,2442.667762,-266.6467553,60
130.245.192.6,178.236.7.220,13.33.85.7,91051.36418,25120.157,65931.20718,105.738,8.086,97.652,Yes,32,13,3143.596106,2442.667762,700.9283446,55
130.245.192.6,151.101.65.67,151.101.209.67,135068.6381,140067.9009,-4999.26281,8.036,6.894,1.142,Yes,32,32,2612.877204,55.80032968,2557.076875,30
130.245.192.6,72.21.206.80,72.21.210.29,105313.8571,107061.6851,-1747.828007,13.402,13.63,-0.228,Yes,32,32,263.6365853,263.6365853,0,60
130.245.192.6,104.16.146.241,104.16.147.241,1035.927057,1036.227942,-0.300884247,8.444,7.52,0.924,Yes,5,5,1336.019277,1336.019277,0,300
130.245.192.6,54.239.33.92,184.28.196.122,110689.6091,1089.67495,109599.9341,84.303,9.71,74.593,Yes,32,9,3143.596106,146.0685797,2997.527527,20
130.245.192.6,151.101.193.164,151.101.209.164,132496.7482,140067.9061,-7571.157932,8.824,7.313,1.511,Yes,32,32,2612.877204,55.80032968,2557.076875,30
130.245.192.6,216.58.219.227,216.58.218.227,6099.172115,244.0309525,5855.141163,7.748,14.751,-7.003,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,151.101.192.81,212.58.246.91,140068.0327,120869.539,19198.49372,8.427,77.362,-68.935,No,32,32,2612.877204,3426.804876,-813.9276718,300
130.245.192.6,216.58.219.227,216.58.218.227,1075.150967,2202.342987,-1127.19202,8.745,13.081,-4.336,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,216.58.219.227,216.58.218.227,62.39628792,210.2639675,-147.8676796,6.593,13.198,-6.605,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,208.82.237.226,208.82.237.49,814.609766,249.8180866,564.7916794,16.385,15.001,1.384,Yes,10,10,2617.753635,2617.753635,0,98
130.245.192.6,42.236.9.70,101.198.192.46,108175.092,81985.19111,26189.90088,442.332,334.907,107.425,Yes,32,32,7212.029748,6835.445738,376.5840102,60
130.245.192.6,52.85.91.65,13.33.72.64,20133.68011,30130.83911,-9997.159004,8.022,7.813,0.209,Yes,11,13,2442.667762,2442.667762,0,11
130.245.192.6,104.17.197.68,104.17.200.68,1047.895908,1033.296108,14.59980011,7.164,8.85,-1.686,No,5,5,1336.019277,1336.019277,0,300
130.245.192.6,151.101.193.69,151.101.129.69,135078.454,135074.1622,4.291772842,7.739,8.101,-0.362,Yes,32,32,2612.877204,2612.877204,0,300
130.245.192.6,203.190.242.211,203.190.242.211,1998.137951,930.4180145,1067.719936,307.114,304.289,2.825,Yes,13,13,10039.18809,10039.18809,0,300
130.245.192.6,216.58.219.227,216.58.218.227,1093.496084,1251.643896,-158.1478119,8.092,13.728,-5.636,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,216.58.219.227,216.58.218.227,1067.131996,155.0078392,912.124157,8.278,37.171,-28.893,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,42.156.140.12,66.198.178.124,114302.0201,110102.823,4199.197054,439.872,8.628,431.244,Yes,32,32,7458.788953,47.5297235,7411.25923,180
130.245.192.6,23.6.40.218,104.107.16.229,873.1000423,5946.949959,-5073.849916,16.286,9.495,6.791,Yes,10,9,146.0685797,146.0685797,0,20
130.245.192.6,216.58.219.227,216.58.218.227,6093.703985,1237.827063,4855.876923,10.894,13.651,-2.757,No,7,11,2604.218551,2604.218551,0,300
130.245.192.6,118.191.216.42,118.191.216.57,106125.7923,106174.3889,-48.59662056,324.909,290.561,34.348,Yes,32,32,8006.878894,8006.878894,0,300
130.245.192.6,195.8.215.136,195.8.215.136,15786.32188,15524.13797,262.1839046,86.542,80.99,5.552,Yes,12,12,3591.326954,3591.326954,0,3652
130.245.192.6,96.43.145.26,96.43.145.26,5479.242086,5159.070969,320.1711178,35.134,33.969,1.165,Yes,9,9,2612.435653,2612.435653,0,90
