Curr IP,Server IP,CDN IP,Trc Server,Trc CDN,Trc Diff.,Ping Server,Ping CDN,Ping Diff,CDN?,Hops Server,Hops CDN,Distance Server,Distance CDN,Distance Diff.,CDN TTL
130.245.192.6,103.23.108.107,103.23.108.200,10137.052059173584,10175.822019577026,-38.76996040344238,256.198,224.444,31.75399999999999,Yes,22,22,7796.780717912367,7796.780717912367,0.0,300
130.245.192.6,216.58.219.227,216.58.217.67,1099.7490882873535,354.97403144836426,744.7750568389893,7.031,14.005,-6.974000000000001,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,192.229.162.211,151.101.209.2,117.87104606628418,140128.29208374023,-140010.42103767395,7.842,7.278,0.5640000000000001,Yes,11,32,1336.0192772569214,55.80032967640167,1280.2189475805199,30
130.245.192.6,50.63.202.11,13.33.74.127,126650.52676200867,25105.670928955078,101544.85583305359,64.961,7.892,57.068999999999996,Yes,32,13,2176.0210065524575,2442.667761897338,-266.6467553448806,60
130.245.192.6,178.236.7.220,13.33.85.7,91051.3641834259,25120.15700340271,65931.2071800232,105.738,8.086,97.652,Yes,32,13,3143.5961064617377,2442.667761897338,700.9283445643996,55
130.245.192.6,151.101.65.67,151.101.209.67,135068.63808631897,140067.9008960724,-4999.262809753418,8.036,6.894,1.1419999999999995,Yes,32,32,2612.8772044270772,55.80032967640167,2557.0768747506754,30
130.245.192.6,72.21.206.80,72.21.210.29,105313.85707855225,107061.68508529663,-1747.8280067443848,13.402,13.630,-0.22800000000000153,Yes,32,32,263.6365852585472,263.6365852585472,0.0,60
130.245.192.6,104.16.146.241,104.16.147.241,1035.9270572662354,1036.2279415130615,-0.3008842468261719,8.444,7.520,0.9240000000000013,Yes,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,54.239.33.92,184.28.196.122,110689.60905075073,1089.674949645996,109599.93410110474,84.303,9.710,74.59299999999999,Yes,32,9,3143.5961064617377,146.06857970437022,2997.5275267573675,20
130.245.192.6,151.101.193.164,151.101.209.164,132496.74820899963,140067.90614128113,-7571.157932281494,8.824,7.313,1.5110000000000001,Yes,32,32,2612.8772044270772,55.80032967640167,2557.0768747506754,30
130.245.192.6,216.58.219.227,216.58.218.227,6099.172115325928,244.03095245361328,5855.141162872314,7.748,14.751,-7.002999999999999,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,151.101.192.81,212.58.246.91,140068.03274154663,120869.53902244568,19198.493719100952,8.427,77.362,-68.935,No,32,32,2612.8772044270772,3426.8048762678836,-813.9276718408064,300
130.245.192.6,216.58.219.227,216.58.218.227,1075.150966644287,2202.342987060547,-1127.1920204162598,8.745,13.081,-4.336,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,216.58.219.227,216.58.218.227,62.39628791809082,210.2639675140381,-147.86767959594727,6.593,13.198,-6.605,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,208.82.237.226,208.82.237.49,814.6097660064697,249.8180866241455,564.7916793823242,16.385,15.001,1.3840000000000021,Yes,10,10,2617.753634888734,2617.753634888734,0.0,98
130.245.192.6,42.236.9.70,101.198.192.46,108175.09198188782,81985.19110679626,26189.900875091553,442.332,334.907,107.42500000000001,Yes,32,32,7212.02974823957,6835.445737995046,376.5840102445236,60
130.245.192.6,52.85.91.65,13.33.72.64,20133.68010520935,30130.839109420776,-9997.159004211426,8.022,7.813,0.20900000000000052,Yes,11,13,2442.667761897338,2442.667761897338,0.0,11
130.245.192.6,104.17.197.68,104.17.200.68,1047.895908355713,1033.2961082458496,14.599800109863281,7.164,8.850,-1.686,No,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,151.101.193.69,151.101.129.69,135078.45401763916,135074.16224479675,4.291772842407227,7.739,8.101,-0.362000000000001,Yes,32,32,2612.8772044270772,2612.8772044270772,0.0,300
130.245.192.6,203.190.242.211,203.190.242.211,1998.1379508972168,930.4180145263672,1067.7199363708496,307.114,304.289,2.8249999999999886,Yes,13,13,10039.188086309583,10039.188086309583,0.0,300
130.245.192.6,216.58.219.227,216.58.218.227,1093.4960842132568,1251.6438961029053,-158.14781188964844,8.092,13.728,-5.635999999999999,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,216.58.219.227,216.58.218.227,1067.1319961547852,155.00783920288086,912.1241569519043,8.278,37.171,-28.893,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,42.156.140.12,66.198.178.124,114302.02007293701,110102.82301902771,4199.197053909302,439.872,8.628,431.244,Yes,32,32,7458.788953198399,47.52972349660153,7411.259229701797,180
130.245.192.6,23.6.40.218,104.107.16.229,873.1000423431396,5946.9499588012695,-5073.84991645813,16.286,9.495,6.791000000000002,Yes,10,9,146.06857970437022,146.06857970437022,0.0,20
130.245.192.6,216.58.219.227,216.58.218.227,6093.703985214233,1237.8270626068115,4855.876922607422,10.894,13.651,-2.7569999999999997,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,118.191.216.42,118.191.216.57,106125.79226493835,106174.38888549805,-48.59662055969238,324.909,290.561,34.34800000000001,Yes,32,32,8006.878893965183,8006.878893965183,0.0,300
130.245.192.6,195.8.215.136,195.8.215.136,15786.321878433228,15524.1379737854,262.18390464782715,86.542,80.990,5.552000000000007,Yes,12,12,3591.326954454495,3591.326954454495,0.0,3652
130.245.192.6,96.43.145.26,96.43.145.26,5479.2420864105225,5159.07096862793,320.1711177825928,35.134,33.969,1.1649999999999991,Yes,9,9,2612.435653058019,2612.435653058019,0.0,90
130.245.192.6,151.101.64.217,151.101.128.217,125791.89014434814,140087.29004859924,-14295.399904251099,8.217,8.098,0.11899999999999977,Yes,32,32,2612.8772044270772,2612.8772044270772,0.0,89
130.245.192.6,104.199.64.136,104.154.127.47,46720.601081848145,29315.748929977417,17404.852151870728,214.921,33.119,181.802,Yes,20,22,2604.2185512435794,2604.2185512435794,0.0,99
130.245.192.6,216.58.219.227,216.58.218.227,1083.6358070373535,1226.3400554656982,-142.70424842834473,8.418,13.058,-4.640000000000001,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,104.27.216.28,104.27.217.28,3046.321153640747,1037.3151302337646,2009.0060234069824,8.284,8.221,0.06300000000000061,Yes,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,219.85.79.131,219.85.79.131,5615.706920623779,4227.148056030273,1388.5588645935059,265.628,258.877,6.750999999999976,Yes,16,16,7916.252698855792,7916.252698855792,0.0,5785
130.245.192.6,133.237.61.176,104.107.3.177,121658.21695327759,649.0187644958496,121009.19818878174,245.747,8.998,236.74900000000002,Yes,32,9,6764.6831560571345,146.06857970437022,6618.614576352764,20
130.245.192.6,211.159.244.178,104.107.2.28,90155.49731254578,5508.758068084717,84646.73924446106,386.959,8.597,378.362,Yes,32,9,6835.445737995046,146.06857970437022,6689.377158290676,4
130.245.192.6,101.227.188.174,104.106.255.143,46908.379793167114,5603.683233261108,41304.696559906006,338.509,9.320,329.189,Yes,21,10,7393.922268781145,146.06857970437022,7247.8536890767755,20
130.245.192.6,54.213.36.26,104.244.99.17,28787.540912628174,80977.39481925964,-52189.85390663147,79.466,79.068,0.39799999999999613,Yes,27,32,2335.125002247842,2285.77037453833,49.35462770951199,60
130.245.192.6,108.174.11.74,108.174.10.19,120790.91596603394,115764.65606689453,5026.259899139404,43.591,14.781,28.810000000000002,Yes,32,32,2604.2185512435794,2604.2185512435794,0.0,2458
130.245.192.6,104.16.166.50,104.16.165.50,1057.7588081359863,1032.623052597046,25.13575553894043,11.019,7.855,3.1639999999999997,Yes,5,5,1336.0192772569214,1336.0192772569214,0.0,300
130.245.192.6,216.58.219.227,216.58.218.227,6093.728065490723,6365.844249725342,-272.11618423461914,7.021,19.530,-12.509,No,7,11,2604.2185512435794,2604.2185512435794,0.0,300
130.245.192.6,151.101.1.111,151.101.209.111,126250.51498413086,145063.02523612976,-18812.5102519989,8.278,8.033,0.245000000000001,Yes,32,32,2612.8772044270772,55.80032967640167,2557.0768747506754,21
